"","GOID","TERM"
"382","GO:0006397","mRNA processing"
"383","GO:0006397","mRNA processing"
"384","GO:0006397","mRNA processing"
"385","GO:0006397","mRNA processing"
"386","GO:0006397","mRNA processing"
"387","GO:0006397","mRNA processing"
"388","GO:0006397","mRNA processing"
"389","GO:0006397","mRNA processing"
"390","GO:0006397","mRNA processing"
"391","GO:0006397","mRNA processing"
"392","GO:0006397","mRNA processing"
"393","GO:0006397","mRNA processing"
"394","GO:0006397","mRNA processing"
"395","GO:0006397","mRNA processing"
"396","GO:0006397","mRNA processing"
"397","GO:0006397","mRNA processing"
"398","GO:0006397","mRNA processing"
"399","GO:0006397","mRNA processing"
"400","GO:0006397","mRNA processing"
"401","GO:0006397","mRNA processing"
"402","GO:0006397","mRNA processing"
"403","GO:0006397","mRNA processing"
"404","GO:0006397","mRNA processing"
"405","GO:0006397","mRNA processing"
"406","GO:0006397","mRNA processing"
"407","GO:0006397","mRNA processing"
"408","GO:0006397","mRNA processing"
"409","GO:0006397","mRNA processing"
"410","GO:0006397","mRNA processing"
"411","GO:0006397","mRNA processing"
"412","GO:0006397","mRNA processing"
"413","GO:0006397","mRNA processing"
"414","GO:0006397","mRNA processing"
"415","GO:0006397","mRNA processing"
"416","GO:0006397","mRNA processing"
"417","GO:0006397","mRNA processing"
"418","GO:0006397","mRNA processing"
"419","GO:0006397","mRNA processing"
"420","GO:0006397","mRNA processing"
"421","GO:0006397","mRNA processing"
"422","GO:0006397","mRNA processing"
"423","GO:0006397","mRNA processing"
"424","GO:0006397","mRNA processing"
"425","GO:0006397","mRNA processing"
"426","GO:0006397","mRNA processing"
"427","GO:0006397","mRNA processing"
"428","GO:0006397","mRNA processing"
"429","GO:0006397","mRNA processing"
"430","GO:0006397","mRNA processing"
"431","GO:0006397","mRNA processing"
"432","GO:0006397","mRNA processing"
"433","GO:0006397","mRNA processing"
"434","GO:0006397","mRNA processing"
"435","GO:0006397","mRNA processing"
"436","GO:0006397","mRNA processing"
"437","GO:0006397","mRNA processing"
"438","GO:0006397","mRNA processing"
"439","GO:0006397","mRNA processing"
"440","GO:0006397","mRNA processing"
"441","GO:0006397","mRNA processing"
"442","GO:0006397","mRNA processing"
"443","GO:0006397","mRNA processing"
"444","GO:0006397","mRNA processing"
"445","GO:0006397","mRNA processing"
"446","GO:0006397","mRNA processing"
"447","GO:0006397","mRNA processing"
"448","GO:0006397","mRNA processing"
"449","GO:0006397","mRNA processing"
"450","GO:0006397","mRNA processing"
"451","GO:0006397","mRNA processing"
"452","GO:0006397","mRNA processing"
"453","GO:0006397","mRNA processing"
"454","GO:0006397","mRNA processing"
"455","GO:0006397","mRNA processing"
"456","GO:0006397","mRNA processing"
"457","GO:0006397","mRNA processing"
"458","GO:0006397","mRNA processing"
"459","GO:0006397","mRNA processing"
"460","GO:0006397","mRNA processing"
"461","GO:0006397","mRNA processing"
"462","GO:0006397","mRNA processing"
"463","GO:0006397","mRNA processing"
"464","GO:0006397","mRNA processing"
"465","GO:0006397","mRNA processing"
"466","GO:0006397","mRNA processing"
"467","GO:0006397","mRNA processing"
"468","GO:0006397","mRNA processing"
"469","GO:0006397","mRNA processing"
"470","GO:0006397","mRNA processing"
"471","GO:0006397","mRNA processing"
"472","GO:0006397","mRNA processing"
"473","GO:0006397","mRNA processing"
"474","GO:0006397","mRNA processing"
"475","GO:0006397","mRNA processing"
"476","GO:0006397","mRNA processing"
"477","GO:0006397","mRNA processing"
"478","GO:0006397","mRNA processing"
"479","GO:0006397","mRNA processing"
"480","GO:0006397","mRNA processing"
"481","GO:0006397","mRNA processing"
"482","GO:0006397","mRNA processing"
"483","GO:0006397","mRNA processing"
"484","GO:0006397","mRNA processing"
"485","GO:0006397","mRNA processing"
"486","GO:0006397","mRNA processing"
"487","GO:0006397","mRNA processing"
"488","GO:0006397","mRNA processing"
"489","GO:0006397","mRNA processing"
"490","GO:0006397","mRNA processing"
"491","GO:0006397","mRNA processing"
"492","GO:0006397","mRNA processing"
"493","GO:0006397","mRNA processing"
"494","GO:0006397","mRNA processing"
"495","GO:0006397","mRNA processing"
"496","GO:0006397","mRNA processing"
"497","GO:0006397","mRNA processing"
"498","GO:0006397","mRNA processing"
"499","GO:0006397","mRNA processing"
"500","GO:0006397","mRNA processing"
"501","GO:0006397","mRNA processing"
"502","GO:0006397","mRNA processing"
"503","GO:0006397","mRNA processing"
"504","GO:0006397","mRNA processing"
"505","GO:0006397","mRNA processing"
"506","GO:0006397","mRNA processing"
"507","GO:0006397","mRNA processing"
"508","GO:0006397","mRNA processing"
"509","GO:0006397","mRNA processing"
"510","GO:0006397","mRNA processing"
"511","GO:0006397","mRNA processing"
"512","GO:0006397","mRNA processing"
"513","GO:0006397","mRNA processing"
"514","GO:0006397","mRNA processing"
"515","GO:0006397","mRNA processing"
"516","GO:0006397","mRNA processing"
"517","GO:0006397","mRNA processing"
"518","GO:0006397","mRNA processing"
"519","GO:0006397","mRNA processing"
"520","GO:0006397","mRNA processing"
"521","GO:0006397","mRNA processing"
"522","GO:0006397","mRNA processing"
"523","GO:0006397","mRNA processing"
"524","GO:0006397","mRNA processing"
"525","GO:0006397","mRNA processing"
"526","GO:0006397","mRNA processing"
"527","GO:0006397","mRNA processing"
"528","GO:0006397","mRNA processing"
"529","GO:0006397","mRNA processing"
"530","GO:0006397","mRNA processing"
"531","GO:0006397","mRNA processing"
"532","GO:0006397","mRNA processing"
"533","GO:0006397","mRNA processing"
"534","GO:0006397","mRNA processing"
"535","GO:0006397","mRNA processing"
"536","GO:0006397","mRNA processing"
"537","GO:0006397","mRNA processing"
"538","GO:0006397","mRNA processing"
"539","GO:0006397","mRNA processing"
"540","GO:0006397","mRNA processing"
"541","GO:0006397","mRNA processing"
"542","GO:0006397","mRNA processing"
"543","GO:0006397","mRNA processing"
"544","GO:0006397","mRNA processing"
"545","GO:0006397","mRNA processing"
"546","GO:0006397","mRNA processing"
"547","GO:0006397","mRNA processing"
"548","GO:0006397","mRNA processing"
"549","GO:0006397","mRNA processing"
"550","GO:0006397","mRNA processing"
"551","GO:0006397","mRNA processing"
"552","GO:0006397","mRNA processing"
"553","GO:0006397","mRNA processing"
"554","GO:0006397","mRNA processing"
"555","GO:0006397","mRNA processing"
"556","GO:0006397","mRNA processing"
"557","GO:0006397","mRNA processing"
"558","GO:0006397","mRNA processing"
"559","GO:0006397","mRNA processing"
"560","GO:0006397","mRNA processing"
"561","GO:0006397","mRNA processing"
"562","GO:0006397","mRNA processing"
"563","GO:0006397","mRNA processing"
"564","GO:0006397","mRNA processing"
"565","GO:0006397","mRNA processing"
"566","GO:0006397","mRNA processing"
"567","GO:0006397","mRNA processing"
"568","GO:0006397","mRNA processing"
"569","GO:0006397","mRNA processing"
"570","GO:0006397","mRNA processing"
"571","GO:0006397","mRNA processing"
"572","GO:0006397","mRNA processing"
"573","GO:0006397","mRNA processing"
"574","GO:0006397","mRNA processing"
"575","GO:0006397","mRNA processing"
"576","GO:0006397","mRNA processing"
"577","GO:0006397","mRNA processing"
"578","GO:0006397","mRNA processing"
"579","GO:0006397","mRNA processing"
"580","GO:0006397","mRNA processing"
"581","GO:0006397","mRNA processing"
"582","GO:0006397","mRNA processing"
"583","GO:0006397","mRNA processing"
"584","GO:0006397","mRNA processing"
"585","GO:0006397","mRNA processing"
"586","GO:0006397","mRNA processing"
"587","GO:0006397","mRNA processing"
"588","GO:0006397","mRNA processing"
"589","GO:0006397","mRNA processing"
"590","GO:0006397","mRNA processing"
"591","GO:0006397","mRNA processing"
"592","GO:0006397","mRNA processing"
"593","GO:0006397","mRNA processing"
"594","GO:0006397","mRNA processing"
"595","GO:0006397","mRNA processing"
"596","GO:0006397","mRNA processing"
"597","GO:0006397","mRNA processing"
"598","GO:0006397","mRNA processing"
"599","GO:0006397","mRNA processing"
"600","GO:0006397","mRNA processing"
"601","GO:0006397","mRNA processing"
"602","GO:0006397","mRNA processing"
"603","GO:0006397","mRNA processing"
"604","GO:0006397","mRNA processing"
"605","GO:0006397","mRNA processing"
"606","GO:0006397","mRNA processing"
"607","GO:0006397","mRNA processing"
"608","GO:0006397","mRNA processing"
